title,location,year,odometer,price,link
2019 Honda CR-V,"North Shore, Auckland",2019,"48,100km","$35,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4770724413?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2020 Honda CR-V,NA                  ,2020,"60,238km","$35,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4769391882?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2020 Honda CR-V,"Newmarket, Auckland ",2020,"58,282km","$27,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4763313154?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2024 Honda CR-V,"Christchurch, Canterbury",2024,"3,223km","$64,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4761635389?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2019 Honda CR-V,"North Shore, Auckland",2019,"58,100km","$29,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4767129753?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2023 Honda CR-V,"North Shore, Auckland",2023,"17,000km","$42,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4759708248?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2022 Honda CR-V,"North Shore, Auckland",2022,"26,500km","$40,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4759365088?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2021 Honda CR-V,NA                  ,2021,"24,800km","$42,600",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4757371061?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2020 Honda CR-V,"North Shore, Auckland",2020,"23,000km","$37,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4757286835?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2022 Honda CR-V,"North Shore, Auckland",2022,"15,400km","$47,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4757286834?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2020 Honda CR-V,"North Shore, Auckland",2020,"36,000km","$37,900",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4757276408?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2020 Honda CR-V,NA                  ,2020,"50,151km","$27,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4754760135?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2021 Honda CR-V,NA                  ,2021,"45,600km","$35,950",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4746004017?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
2019 Honda CR-V,NA                  ,2019,"59,969km","$29,990",https://www.trademe.co.nz/a/motors/cars/honda/cr-v/listing/4738299370?rsqid=2131c96bab5d42f4a9e3f0322a145448-001
