title,location,year,odometer,price,link
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"17,650km","$35,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4776041017?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2022 Toyota RAV4,"Papakura, Auckland  ",2022,"55,145km","$31,899",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4774837653?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"32,306km","$34,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4774064207?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"24,631km","$35,888",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4772781756?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"22,486km","$47,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4772431923?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"44,800km","$35,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4770564397?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2022 Toyota RAV4,"Auckland, Auckland  ",2022,"52,185km","$32,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4769452637?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2020 Toyota RAV4,"Auckland, Auckland  ",2020,"77,945km","$36,490",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4769402320?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"24,986km","$34,980",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4769270978?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"23,372km","$34,980",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4769073861?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2023 Toyota RAV4,"Auckland, Auckland  ",2023,"24,227km","$44,980",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4768979416?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2019 Toyota RAV4,Auckland            ,2019,"71,800km","$34,987",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4768930661?rsqid=1fae398a8f064d778ce3f7304e27addf-001
2019 Toyota RAV4,"Auckland, Auckland  ",2019,"66,358km","$32,990",https://www.trademe.co.nz/a/motors/cars/toyota/rav4/listing/4768692343?rsqid=1fae398a8f064d778ce3f7304e27addf-001
